uuid,lat,lon,speed,course,heading,navstat,destination,last_pos_epoch,last_pos_utc,distance_nm,mmsi,imo,type,type_specific,length,breadth,country_iso
0d1ab7f5-6c44-81a3-c199-14803fc7c948,41.4753,9.073862,0.0,,511,,CLASS B,1648807260,2022-04-01 10:01:00,26.290862247157,227909190,,Pleasure Craft,Pleasure Craft,14.0,8.0,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.52673,9.49018,50.0,9.0,359,,FR PVO,1648771260,2022-04-01 00:01:00,40.5026672878754,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.62626,9.504862,51.0,4.0,0,,FR PVO,1648774980,2022-04-01 01:03:00,39.2660638773357,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.67784,9.504842,41.0,193.0,201,,FR PVO,1648778580,2022-04-01 02:03:00,38.6378773248377,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.61152,9.483095,39.0,196.0,207,,FR PVO,1648782060,2022-04-01 03:01:00,38.5458024412254,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.60742,9.411939,43.0,269.0,266,,FR PVO,1648785720,2022-04-01 04:02:00,35.5500957067913,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.59974,9.30712,73.0,224.0,225,,FR PVO,1648789320,2022-04-01 05:02:00,31.2445600565211,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.58774,9.290174,0.0,188.0,128,,FR PVO,1648792860,2022-04-01 06:01:00,30.7988093843501,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.58776,9.290143,0.0,188.0,128,,FR PVO,1648796520,2022-04-01 07:02:00,30.7970661078022,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
2645179e-d6d8-56e8-073c-73579ea81c75,41.58773,9.290192,0.0,188.0,128,,FR PVO,1648800000,2022-04-01 08:00:00,30.79978492573,228200800,9163570.0,Cargo,Cement Carrier,90.6,13.75,FR
