class_id,latitude,longitude,length,breadth,heading,date
0,41.47439,9.072012,15.0,6.0,151,20221005
1,41.62075,9.515735,13.0,4.0,151,20221007
0,41.38943,9.15879,11.0,7.0,159,20221006
0,41.3894,9.158789,11.0,7.0,157,20221007
1,41.30613,9.291192,30.0,7.0,151,20221006
1,41.38909,9.161225,30.0,7.0,151,20221007
1,41.42593,9.268568,19.0,10.0,171,20221003
0,41.37486,9.226327,19.0,10.0,79,20221004
0,41.38885,9.15985,19.0,10.0,157,20221005
0,41.33656,9.256376,13.0,4.0,151,20221007
1,41.38889,9.163348,13.0,8.0,151,20221006
1,41.36224,9.214147,12.0,4.0,151,20221006
1,41.3512,9.172974,12.0,4.0,151,20221007
1,41.3918,9.083326,12.0,4.0,151,20221004
0,41.47529,9.073915,14.0,8.0,151,20221002
0,41.47528,9.07389,14.0,8.0,151,20221003
0,41.47528,9.073836,14.0,8.0,151,20221004
0,41.47532,9.073898,14.0,8.0,151,20221005
0,41.47527,9.073887,14.0,8.0,151,20221006
0,41.47529,9.073892,14.0,8.0,151,20221007
1,41.3874,9.1474,14.0,8.0,36,20221004
1,41.39228,9.08114,12.0,3.0,151,20221004
0,41.58951,9.285427,,,170,20221002
1,41.33523,9.101593,9.0,4.0,151,20221003
1,41.35317,9.138173,64.35,13.8,1,20221003
1,41.32629,9.167053,64.35,13.8,153,20221004
1,41.31578,9.173008,64.35,13.8,164,20221005
1,41.33791,9.166043,64.35,13.8,162,20221006
1,41.30411,9.182527,64.35,13.8,162,20221007
1,41.33473,9.252361,12.0,4.0,151,20221004
1,41.38428,9.143325,12.0,4.0,151,20221005
0,41.33858,9.251532,14.0,7.0,151,20221006
0,41.67479,9.381908,72.25,12.0,32,20221002
0,41.59099,9.284745,15.0,8.0,151,20221003
0,41.59101,9.2847,15.0,8.0,151,20221004
0,41.59098,9.284741,15.0,8.0,151,20221005
0,41.58777,9.290169,90.6,13.75,128,20221007
1,41.37255,9.322898,33.0,7.94,151,20221002
1,41.59875,9.298195,33.0,7.94,151,20221003
1,41.33508,9.252334,15.0,8.0,64,20221007
0,41.58794,9.292652,102.96,15.4,39,20221003
0,41.33595,9.250002,,,151,20221006
1,41.32688,9.262299,15.0,4.0,151,20221005
1,41.37174,9.156765,15.0,4.0,151,20221006
0,41.59021,9.284661,15.0,5.0,151,20221002
0,41.59021,9.28465,15.0,5.0,151,20221003
0,41.59027,9.28465,15.0,5.0,151,20221004
1,41.51315,9.424935,15.0,5.0,151,20221005
0,41.58832,9.292415,165.8,29.0,38,20221004
0,41.58832,9.292421,165.8,29.0,38,20221006
0,41.59033,9.284621,14.0,4.0,151,20221002
1,41.39487,9.288495,14.0,4.0,151,20221003
0,41.3393,9.251065,14.0,4.0,151,20221004
1,41.53011,9.341802,8.0,3.0,151,20221007
1,41.32609,9.15528,11.0,4.0,151,20221004
1,41.36287,9.219316,,,151,20221006
1,41.63084,9.350965,,,151,20221002
0,41.63074,9.35122,,,151,20221003
0,41.63085,9.351085,,,151,20221004
0,41.63089,9.351167,,,151,20221005
0,41.631,9.351135,,,151,20221006
0,41.63097,9.351084,,,151,20221007
1,41.37594,9.121857,12.0,12.0,151,20221004
1,41.37749,9.228108,,,151,20221003
1,41.40178,9.268501,,,151,20221005
1,41.64577,9.394834,,,151,20221006
1,41.37914,9.2923,15.0,7.0,32,20221004
1,41.61988,9.313633,15.0,7.0,153,20221005
1,41.62707,9.38235,15.0,7.0,40,20221006
1,41.3731,9.110535,14.0,4.0,151,20221006
1,41.68089,9.414485,20.0,5.0,151,20221005
1,41.41208,9.267582,16.0,5.0,151,20221002
1,41.54765,9.324393,16.0,5.0,151,20221003
0,41.36914,9.224301,21.0,11.0,151,20221004
1,41.41113,9.051768,15.0,8.0,122,20221007
1,41.32512,9.19822,12.0,7.0,151,20221007
1,41.59193,9.292455,14.0,4.0,77,20221002
1,41.3438,9.242092,16.0,6.0,151,20221005
0,41.38895,9.16455,60.93,13.05,76,20221004
1,41.58721,9.296222,12.0,7.0,151,20221002
0,41.60013,9.290613,12.0,7.0,151,20221003
0,41.60015,9.290488,12.0,7.0,151,20221004
1,41.62738,9.361362,12.0,7.0,151,20221005
1,41.55313,9.359669,12.0,7.0,151,20221006
0,41.389,9.164833,44.0,8.5,72,20221005
1,41.38328,9.094368,35.2,8.12,119,20221005
1,41.3603,9.275105,,,151,20221003
0,41.34529,9.256495,,,151,20221005
0,41.33551,9.257655,,,151,20221006
1,41.58388,9.376783,14.0,8.0,151,20221002
1,41.52747,9.340603,16.0,5.0,151,20221005
1,41.6552,9.485171,12.0,4.0,74,20221002
1,41.5478,9.379628,12.0,4.0,3,20221003
1,41.30578,9.278091,134.44,22.74,52,20221004
1,41.60863,9.33332,13.0,4.0,151,20221004
1,41.37854,9.281865,13.0,4.0,151,20221006
1,41.31736,9.242773,12.0,4.0,151,20221003
1,41.34818,9.2122,12.0,4.0,151,20221007
1,41.6152,9.397837,17.0,5.0,151,20221005
1,41.43121,9.295382,17.0,5.0,151,20221006
1,41.33873,9.262987,14.0,8.0,151,20221004
1,41.33123,9.255458,14.0,8.0,151,20221005
1,41.75224,9.492772,173.7,24.0,25,20221002
1,41.31873,9.132154,12.0,4.0,151,20221003
1,41.33157,9.195887,13.0,2.0,151,20221004
1,41.30887,9.228435,13.0,2.0,151,20221005
1,41.29739,9.279094,,,151,20221004
0,41.38838,9.163815,,,151,20221005
1,41.32949,9.18844,,,151,20221006
1,41.64466,9.474363,10.0,4.0,151,20221004
1,41.39223,9.084356,13.0,7.0,151,20221006
1,41.39384,9.133552,13.0,7.0,151,20221007
1,41.35227,9.168908,12.0,3.0,151,20221005
0,41.38887,9.156538,104.8,14.6,92,20221004
1,41.5885,9.293667,171.52,28.03,151,20221005
1,41.68427,9.45962,6.0,2.0,151,20221002
1,41.318,9.255847,11.0,4.0,151,20221005
1,41.36646,9.16218,14.0,4.0,140,20221005
1,41.31357,9.261967,13.0,7.0,151,20221005
1,41.38425,9.150998,18.0,5.0,151,20221004
0,41.374,9.178186,,,151,20221002
0,41.37399,9.178204,,,151,20221003
0,41.374,9.178164,,,151,20221004
