detect_id,scene_id,lat,lon,detect_timestamp,speed_kn_inferred,heading_deg_inferred,length_m_inferred,presence_score,nonvessel_score,cloud_score,likely_infrastructure,potential_ice,matching_score,matching_score_secondary,matching_confidence,mmsi,ais_lat_before,ais_lat_after,ais_lon_before,ais_lon_after,ais_speed_kn_before,ais_speed_kn_after,ais_course_before,ais_course_after,ais_timestamp_before,ais_timestamp_after,ais_length_m,month,geometry
S2A_MSIL1C_20221025T101111_N0400_R022_T32TNM_20221025T121335;9.288635000;41.5951230,S2A_MSIL1C_20221025T101111_N0400_R022_T32TNM_20221025T121335,41.595123,9.288635,2022-10-25 10:19:18.049 UTC,0.37,81.93296470370771,26.200000000000003,0.68,0.8786655664,0.0997262787442555,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.288635 41.595123)
S2B_MSIL1C_20221013T101859_N0400_R065_T32TNL_20221013T140429;9.106041000;41.3932190,S2B_MSIL1C_20221013T101859_N0400_R065_T32TNL_20221013T140429,41.393219,9.106041,2022-10-13 10:29:24.496 UTC,0.34,3.437746770784939,18.8,0.552,0.0914527774,0.0648547186227164,False,False,0.0002213176764043,,0.0436013114438382,227208870.0,,41.420406666666665,,9.107518333333331,,0.2000000029802322,,293.79998779296875,,2022-10-13 13:06:10 UTC,14.231871035849998,10,POINT (9.106041 41.393219)
S2B_MSIL1C_20221020T100939_N0400_R022_T32TNL_20221020T122002;9.227513000;41.3761080,S2B_MSIL1C_20221020T100939_N0400_R022_T32TNL_20221020T122002,41.376108,9.227513,2022-10-20 10:19:29.37 UTC,9.91,241.87944187412893,26.7,0.8,0.4890694916,0.0083590083004552,False,False,0.0011593842950005,,0.7392025926481652,228090580.0,,41.388975,,9.16151,,4.599999904632568,,280.6000061035156,,2022-10-20 10:56:39 UTC,14.890570849991304,10,POINT (9.227513 41.376108)
S2B_MSIL1C_20221003T101749_N0400_R065_T32TNM_20221003T154454;9.289513000;41.6035880,S2B_MSIL1C_20221003T101749_N0400_R065_T32TNM_20221003T154454,41.603588,9.289513,2022-10-03 10:29:09.945 UTC,0.17,338.1363514561072,21.8,0.731,0.5141474605,0.8761998584376108,False,False,0.0001555329584939,,0.0438845315872866,238068840.0,,41.61013,,9.346311666666665,,5.7,,60.2,,2022-10-03 11:28:30 UTC,14.473250050043752,10,POINT (9.289513 41.603588)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924;9.251276000;41.3361550,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924,41.336155,9.251276,2022-10-08 10:29:31.959 UTC,1.38,252.1926821864837,25.1,0.74,0.7653300762,0.0198336654838713,False,False,0.1767015163881811,,0.6276453907052547,254290000.0,41.33758666666667,41.337426666666666,9.251578333333331,9.251615,0.1000000014901161,0.2000000029802322,69.4000015258789,307.29593474502303,2022-10-08 10:16:22 UTC,2022-10-08 11:10:57 UTC,22.79229265684902,10,POINT (9.251276 41.336155)
S2B_MSIL1C_20221013T101859_N0400_R065_T32TNL_20221013T140429;9.111351000;41.3502470,S2B_MSIL1C_20221013T101859_N0400_R065_T32TNL_20221013T140429,41.350247,9.111351,2022-10-13 10:29:24.496 UTC,0.79,42.97183463481174,27.4,0.646,0.0280060843,8.922219409242358e-05,False,False,0.0297925666558839,0.0242797288738418,0.9297172060955938,228054620.0,41.35820666666666,41.35338166666666,9.125846666666666,9.101075,5.699999809265137,6.400000095367432,228.0,341.3999938964844,2022-10-13 10:20:52 UTC,2022-10-13 10:38:22 UTC,16.598224804066668,10,POINT (9.111351 41.350247)
S2A_MSIL1C_20221025T101111_N0400_R022_T32TNL_20221025T121335;9.314339000;41.3278030,S2A_MSIL1C_20221025T101111_N0400_R022_T32TNL_20221025T121335,41.327803,9.314339,2022-10-25 10:19:32.732 UTC,2.8,315.2180396508743,23.1,0.884,0.0245653931,0.0118649607836196,False,False,8.943148016544685e-06,,0.0425755889523939,247014700.0,41.262248333333325,,9.40548833333333,,23.700000762939453,,308.70001220703125,,2022-10-25 08:21:46 UTC,,15.337193678358824,10,POINT (9.314339 41.327803)
S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015;9.225941000;41.3365680,S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015,41.336568,9.225941,2022-10-05 10:19:36.843 UTC,0.67,159.28226704636884,29.3,0.541,0.0440266617,0.0001218056011902,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.225941 41.336568)
S2B_MSIL1C_20221023T102029_N0400_R065_T32TNL_20221023T140252;9.156119000;41.3755970,S2B_MSIL1C_20221023T102029_N0400_R065_T32TNL_20221023T140252,41.375597,9.156119,2022-10-23 10:29:24.997 UTC,5.79,146.67719555349075,26.8,0.843,0.0273555592,0.1164300523303461,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.156119 41.375597)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924;9.168408000;41.3646800,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924,41.36468,9.168408,2022-10-08 10:29:31.959 UTC,11.12,319.80170201192084,37.6,0.903,0.0347427577,0.0476745155702368,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.168408 41.36468)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924;9.287129000;41.5259500,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924,41.52595,9.287129,2022-10-08 10:29:31.959 UTC,8.74,72.19268218648371,27.5,0.914,0.1196719259,0.0746006868302419,False,False,2.1285484021657356e-05,,0.1993819619796074,227133280.0,41.590491666666665,41.590896666666666,9.286598333333334,9.284466666666667,7.0,4.900000095367432,245.7,98.8000030517578,2022-10-08 09:45:39 UTC,2022-10-08 13:14:45 UTC,19.272340753134944,10,POINT (9.287129 41.52595)
S2B_MSIL1C_20221020T100939_N0400_R022_T32TNM_20221020T122002;9.300695000;41.6083330,S2B_MSIL1C_20221020T100939_N0400_R022_T32TNM_20221020T122002,41.608333,9.300695,2022-10-20 10:19:14.688 UTC,0.51,63.02535746439056,27.9,0.801,0.2278459221,0.043130959558686,False,False,4.704013720515494e-06,,0.0477672326859981,235008242.0,,40.98965,,9.618446666666669,,6.599999904632568,,149.89999389648438,,2022-10-20 16:24:01 UTC,45.956217650144445,10,POINT (9.300695 41.608333)
S2A_MSIL1C_20221015T101031_N0400_R022_T32TNL_20221015T135311;9.214379000;41.3459580,S2A_MSIL1C_20221015T101031_N0400_R022_T32TNL_20221015T135311,41.345958,9.214379,2022-10-15 10:19:33.966 UTC,1.81,302.04001036286536,34.5,0.743,0.0399216413,0.0010654484221565,False,False,0.4024058904673871,,0.9982309943358992,205773100.0,41.33075333333333,41.34865,9.23776166666667,9.210068333333334,6.099999904632568,5.800000190734863,313.29998779296875,314.5,2022-10-15 10:04:51 UTC,2022-10-15 10:22:17 UTC,19.17374318746,10,POINT (9.214379 41.345958)
S2B_MSIL1C_20221023T102029_N0400_R065_T32TNL_20221023T140252;9.153853000;41.3783020,S2B_MSIL1C_20221023T102029_N0400_R065_T32TNL_20221023T140252,41.378302,9.153853,2022-10-23 10:29:24.997 UTC,8.72,315.7909974460051,28.8,0.917,0.0418514125,0.1164300523303461,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.153853 41.378302)
S2B_MSIL1C_20221013T101859_N0400_R065_T32TNL_20221013T140429;9.102568000;41.3903400,S2B_MSIL1C_20221013T101859_N0400_R065_T32TNL_20221013T140429,41.39034,9.102568,2022-10-13 10:29:24.496 UTC,0.41,347.8766339733312,22.1,0.902,0.0253691897,0.0002278773174396,False,False,0.0250869032520911,,0.3888046547474761,205773100.0,41.391243333333335,41.39829,9.10478,9.074538333333333,6.400000095367432,4.900000095367432,313.3999938964844,309.0,2022-10-13 10:28:05 UTC,2022-10-13 10:44:36 UTC,19.17374318746,10,POINT (9.102568 41.39034)
S2A_MSIL1C_20221025T101111_N0400_R022_T32TNL_20221025T121335;9.297544000;41.3135250,S2A_MSIL1C_20221025T101111_N0400_R022_T32TNL_20221025T121335,41.313525,9.297544,2022-10-25 10:19:32.732 UTC,1.65,171.31438074411616,26.200000000000003,0.704,0.023123933,0.0094789551438171,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.297544 41.313525)
S2B_MSIL1C_20221013T101859_N0400_R065_T32TML_20221013T140429;9.109283000;41.3292610,S2B_MSIL1C_20221013T101859_N0400_R065_T32TML_20221013T140429,41.329261,9.109283,2022-10-13 10:29:28.811 UTC,1.11,298.0293057969496,26.1,0.739,0.0336561315,8.922219409242358e-05,False,False,4.30164809119038e-05,0.013292708517096,0.4734400676729929,228054620.0,41.35820666666666,41.35338166666666,9.125846666666666,9.101075,5.699999809265137,6.400000095367432,228.0,341.3999938964844,2022-10-13 10:20:52 UTC,2022-10-13 10:38:22 UTC,16.598224804066668,10,POINT (9.109283 41.329261)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924;9.093989000;41.4137670,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924,41.413767,9.093989,2022-10-08 10:29:31.959 UTC,0.29,94.53803619658582,24.3,0.447,0.0332197212,0.0689099081511773,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.093989 41.413767)
S2B_MSIL1C_20221003T101749_N0400_R065_T32TNM_20221003T154454;9.323948000;41.5062160,S2B_MSIL1C_20221003T101749_N0400_R065_T32TNM_20221003T154454,41.506216,9.323948,2022-10-03 10:29:09.945 UTC,0.71,75.05747116213784,24.9,0.622,0.0716907606,0.4426805206173786,False,False,0.0001008791150142,,0.2690267142952818,227402380.0,,41.62480166666667,,9.360118333333334,,5.300000190734863,,5.800000190734863,,2022-10-03 17:03:30 UTC,17.41951066205682,10,POINT (9.323948 41.506216)
S2B_MSIL1C_20221020T100939_N0400_R022_T32TNL_20221020T122002;9.150348000;41.3623630,S2B_MSIL1C_20221020T100939_N0400_R022_T32TNL_20221020T122002,41.362363,9.150348,2022-10-20 10:19:29.37 UTC,0.11,174.75212751490108,22.8,0.675,0.0733787939,0.0064997290621779,False,False,0.0002270437084288,,0.0371779125716955,219001188.0,41.388816666666656,41.38887166666667,9.16083833333333,9.160828333333333,0.1000000014901161,0.0,296.66648492488235,194.85441601926877,2022-10-20 08:51:52 UTC,2022-10-20 18:59:43 UTC,17.238379844675002,10,POINT (9.150348 41.362363)
S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015;9.250786000;41.3329130,S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015,41.332913,9.250786,2022-10-05 10:19:36.843 UTC,0.29,254.48451336700705,24.3,0.763,0.0494762622,0.010093422142301,False,False,5.888374376364002e-05,,0.0006474253157085,211802100.0,41.33235,41.338773333333336,9.256146666666666,9.252621666666666,7.300000190734862,0.2000000029802322,332.8999938964844,312.6000061035156,2022-10-05 10:04:38 UTC,2022-10-05 10:21:41 UTC,19.829645192460863,10,POINT (9.250786 41.332913)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924;9.149542000;41.3236310,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924,41.323631,9.149542,2022-10-08 10:29:31.959 UTC,4.7,163.86592940741545,25.6,0.864,0.0308710691,0.0059834429234345,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.149542 41.323631)
S2B_MSIL1C_20221030T101039_N0400_R022_T32TNL_20221030T121357;9.212605000;41.3517260,S2B_MSIL1C_20221030T101039_N0400_R022_T32TNL_20221030T121357,41.351726,9.212605,2022-10-30 10:19:28.538 UTC,9.62,134.07212406061262,34.2,0.917,0.0403085537,0.0004907260078046,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.212605 41.351726)
S2B_MSIL1C_20221013T101859_N0400_R065_T32TML_20221013T140429;9.102206000;41.3886280,S2B_MSIL1C_20221013T101859_N0400_R065_T32TML_20221013T140429,41.388628,9.102206,2022-10-13 10:29:28.811 UTC,0.23,217.2422566835035,32.9,0.932,0.0497722365,0.0002278773174396,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.102206 41.388628)
S2A_MSIL1C_20221015T101031_N0400_R022_T32TNL_20221015T135311;9.238498000;41.4370680,S2A_MSIL1C_20221015T101031_N0400_R022_T32TNL_20221015T135311,41.437068,9.238498,2022-10-15 10:19:33.966 UTC,0.83,204.06422739549456,17.1,0.398,0.3195827305,0.0080592702477313,False,False,0.0001418357364206,,0.1102416807887113,238068840.0,41.40396833333333,,9.267465,,6.400000095367432,,23.600000381469727,,2022-10-15 09:34:30 UTC,,14.473250050043752,10,POINT (9.238498 41.437068)
S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015;9.060714000;41.4017190,S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015,41.401719,9.060714,2022-10-05 10:19:36.843 UTC,0.75,80.78704911344606,26.5,0.798,0.0308429524,0.0001137180690848,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.060714 41.401719)
S2A_MSIL1C_20221005T100901_N0400_R022_T32TNM_20221005T135015;9.311931000;41.6237950,S2A_MSIL1C_20221005T100901_N0400_R022_T32TNM_20221005T135015,41.623795,9.311931,2022-10-05 10:19:22.15 UTC,0.7,150.1149423242757,19.5,0.39,0.1891655326,0.065855900069337,False,False,0.0001230433260158,,0.0209441425360031,238068840.0,,41.634213333333335,,9.352491666666669,,0.3,,343.4,,2022-10-05 17:21:02 UTC,14.473250050043752,10,POINT (9.311931 41.623795)
S2A_MSIL1C_20221015T101031_N0400_R022_T32TNM_20221015T135311;9.309538000;41.6253330,S2A_MSIL1C_20221015T101031_N0400_R022_T32TNM_20221015T135311,41.625333,9.309538,2022-10-15 10:19:19.28 UTC,0.63,196.04281826366304,22.9,0.408,0.5033840537,0.0798218726528125,False,False,4.538869309554093e-05,,0.0718341533474135,232042958.0,41.630696666666665,41.63073666666666,9.35119,9.351128333333332,0.2,0.1,313.3570391203345,218.5023388625613,2022-10-15 09:56:21 UTC,2022-10-15 10:38:21 UTC,17.770240419836,10,POINT (9.309538 41.625333)
S2A_MSIL1C_20221018T102031_N0400_R065_T32TNL_20221018T140020;9.148493000;41.3880380,S2A_MSIL1C_20221018T102031_N0400_R065_T32TNL_20221018T140020,41.388038,9.148493,2022-10-18 10:29:28.254 UTC,2.35,24.064227395494576,35.9,0.633,0.9362601042,0.0097335913131494,False,False,0.0006931974624904,,0.896688054181353,228125570.0,41.36548666666666,41.389295,9.232231666666669,9.15388,25.299999237060547,7.099999904632568,284.29998779296875,94.4000015258789,2022-10-18 10:14:01 UTC,2022-10-18 10:30:46 UTC,18.67004398255652,10,POINT (9.148493 41.388038)
S2A_MSIL1C_20221015T101031_N0400_R022_T32TNL_20221015T135311;9.229028000;41.4330330,S2A_MSIL1C_20221015T101031_N0400_R022_T32TNL_20221015T135311,41.433033,9.229028,2022-10-15 10:19:33.966 UTC,0.44,88.8084582452776,22.5,0.796,0.1335268021,0.0348743072557133,False,False,46.90057704983472,,0.9999807152133122,211283840.0,41.433128333333336,41.433008333333326,9.229016666666666,9.229075,0.1000000014901161,0.3000000119209289,238.45279065849888,266.78180961701145,2022-10-15 10:16:30 UTC,2022-10-15 10:40:28 UTC,21.14319351815873,10,POINT (9.229028 41.433033)
S2B_MSIL1C_20221013T101859_N0400_R065_T32TML_20221013T140429;9.111533000;41.3871790,S2B_MSIL1C_20221013T101859_N0400_R065_T32TML_20221013T140429,41.387179,9.111533,2022-10-13 10:29:28.811 UTC,0.27,182.2918311805233,26.6,0.824,0.0329750888,0.0002278773174396,False,False,0.0001595940165702,,0.0663093022913816,227989440.0,,41.389578333333326,,9.15938333333333,,0.1000000014901161,,3.901692081121807,,2022-10-13 14:36:46 UTC,20.998993386493545,10,POINT (9.111533 41.387179)
S2B_MSIL1C_20221030T101039_N0400_R022_T32TNL_20221030T121357;9.285247000;41.3154480,S2B_MSIL1C_20221030T101039_N0400_R022_T32TNL_20221030T121357,41.315448,9.285247,2022-10-30 10:19:28.538 UTC,0.4,50.993243766643275,26.6,0.835,0.0386656485,0.0002540161585092,False,False,0.2600241052669754,0.0072077478689515,0.9995552692316568,211270380.0,41.31047333333333,41.31752166666666,9.297345,9.28085,4.5,4.5,303.1,300.79998779296875,2022-10-30 10:11:21 UTC,2022-10-30 10:22:21 UTC,13.858009240585718,10,POINT (9.285247 41.315448)
S2B_MSIL1C_20221013T101859_N0400_R065_T32TNM_20221013T140429;9.418134000;41.6927230,S2B_MSIL1C_20221013T101859_N0400_R065_T32TNM_20221013T140429,41.692723,9.418134,2022-10-13 10:29:10.366 UTC,0.38,121.46705256773453,24.5,0.867,0.0224800892,0.0001463161428423,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.418134 41.692723)
S2B_MSIL1C_20221013T101859_N0400_R065_T32TNM_20221013T140429;9.321461000;41.6089970,S2B_MSIL1C_20221013T101859_N0400_R065_T32TNM_20221013T140429,41.608997,9.321461,2022-10-13 10:29:10.366 UTC,10.59,35.52338329811104,28.3,0.916,0.0533997305,0.0142807971677255,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.321461 41.608997)
S2A_MSIL1C_20221015T101031_N0400_R022_T32TNL_20221015T135311;9.051303000;41.4527960,S2A_MSIL1C_20221015T101031_N0400_R022_T32TNL_20221015T135311,41.452796,9.051303,2022-10-15 10:19:33.966 UTC,0.53,238.441695103344,25.2,0.413,0.0408224277,0.007680674015276,False,False,5.578303489199997e-06,,0.1185892653439988,228004550.0,41.475385,41.47537,9.073903333333332,9.073916666666669,0.0,0.0,108.37842843008556,75.54777822592213,2022-10-15 10:08:42 UTC,2022-10-15 10:26:42 UTC,19.908207751869814,10,POINT (9.051303 41.452796)
S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015;9.150019000;41.3751550,S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015,41.375155,9.150019,2022-10-05 10:19:36.843 UTC,0.22,343.8659294074155,21.3,0.632,0.0224033315,9.006710417209562e-05,False,False,0.001221741740201,,0.1120038781843676,232036107.0,41.388301666666656,41.388243333333335,9.163713333333332,9.163755,0.0,0.0,291.71720512349606,286.1000061035156,2022-10-05 06:54:44 UTC,2022-10-05 13:30:44 UTC,22.480311508890907,10,POINT (9.150019 41.375155)
S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015;9.178673000;41.3583590,S2A_MSIL1C_20221005T100901_N0400_R022_T32TNL_20221005T135015,41.358359,9.178673,2022-10-05 10:19:36.843 UTC,0.7,175.8980431051627,26.9,0.729,0.0350570641,0.0339413078186614,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.178673 41.358359)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924;9.269113000;41.4012400,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924,41.40124,9.269113,2022-10-08 10:29:31.959 UTC,0.9,353.6062119246394,29.700000000000003,0.786,0.0304615572,0.0048465135432927,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.269113 41.40124)
S2B_MSIL1C_20221023T102029_N0400_R065_T32TNL_20221023T140252;9.161760000;41.3841460,S2B_MSIL1C_20221023T102029_N0400_R065_T32TNL_20221023T140252,41.384146,9.16176,2022-10-23 10:29:24.997 UTC,7.02,295.1645168212955,31.1,0.845,0.1029601991,0.1164300523303461,False,False,0.0018961031915114,0.0018809121393161,0.6003142542172601,227842650.0,41.38857,41.38858333333334,9.158908333333331,9.15892333333333,0.0,0.0,241.6000061035156,56.3,2022-10-23 10:21:10 UTC,2022-10-23 10:36:38 UTC,35.36245715342558,10,POINT (9.16176 41.384146)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924;9.253519000;41.3596600,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924,41.35966,9.253519,2022-10-08 10:29:31.959 UTC,26.92,267.66254265501595,33.2,0.859,0.0081354212,0.0124375485412781,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.253519 41.35966)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924;9.252441000;41.3900180,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNL_20221008T135924,41.390018,9.252441,2022-10-08 10:29:31.959 UTC,26.94,218.961130068896,22.9,0.871,0.0121559687,0.0048535230373804,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.252441 41.390018)
S2A_MSIL1C_20221008T101931_N0400_R065_T32TNM_20221008T135924;9.334901000;41.6086890,S2A_MSIL1C_20221008T101931_N0400_R065_T32TNM_20221008T135924,41.608689,9.334901,2022-10-08 10:29:17.839 UTC,12.55,105.42423430407148,28.9,0.882,0.0386208482,0.0527919215258862,False,False,0.0,,,,,,,,,,,,,,,10,POINT (9.334901 41.608689)
