epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.184,1.7126,4.2899,1.26222,0.58903,0.68402,0.7103,0.47024,1.21151,1.23801,1.25534,0.00331019,0.00331019,0.00331019
2,31.7188,1.37516,1.35665,1.21414,0.63684,0.72796,0.80627,0.50859,1.2735,1.12782,1.2137,0.00663986,0.00663986,0.00663986
3,47.1654,1.411,1.14983,1.19959,0.80756,0.71011,0.78351,0.47765,1.42053,1.17141,1.26444,0.00996588,0.00996588,0.00996588
4,62.408,1.47636,1.18034,1.20921,0.81741,0.63262,0.7495,0.39727,1.53157,1.20211,1.3603,0.0099835,0.0099835,0.0099835
5,77.635,1.47965,1.15582,1.23662,0.7623,0.69509,0.79051,0.46258,1.43099,1.09175,1.27539,0.009978,0.009978,0.009978
6,92.9277,1.5303,1.21077,1.21762,0.79141,0.74355,0.81978,0.51381,1.31828,1.14336,1.24774,0.0099725,0.0099725,0.0099725
7,108.228,1.50893,1.14329,1.15616,0.77598,0.75068,0.80946,0.47761,1.42504,1.19814,1.19013,0.009967,0.009967,0.009967
8,123.692,1.50603,1.17236,1.19841,0.82617,0.70894,0.81072,0.4692,1.38939,1.14314,1.21161,0.0099615,0.0099615,0.0099615
9,138.98,1.51134,1.14027,1.21244,0.71557,0.70249,0.77744,0.44794,1.50714,1.16981,1.24538,0.009956,0.009956,0.009956
10,154.268,1.52866,1.14465,1.20863,0.80768,0.68939,0.83312,0.50446,1.34837,1.04934,1.19091,0.0099505,0.0099505,0.0099505
11,169.492,1.49538,1.10133,1.21853,0.77699,0.78266,0.82726,0.49747,1.3339,1.06365,1.2189,0.009945,0.009945,0.009945
12,184.755,1.49988,1.11429,1.19566,0.76941,0.76751,0.84618,0.53434,1.29397,1.10609,1.23518,0.0099395,0.0099395,0.0099395
