epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.42,1.64309,5.935,1.26261,0.66795,0.53583,0.57688,0.32517,1.06008,1.37416,0.93317,0.00332381,0.00332381,0.00332381
2,111.383,1.50799,1.46609,1.17496,0.68738,0.59583,0.62882,0.36003,1.14906,1.37222,0.98185,0.00665582,0.00665582,0.00665582
3,165.55,1.69857,1.58004,1.21616,0.72694,0.54319,0.59805,0.30158,1.28526,1.5329,1.03102,0.00998652,0.00998652,0.00998652
4,218.604,1.81582,1.68806,1.29967,0.57087,0.4384,0.46777,0.23957,1.31485,1.5965,0.99385,0.00999406,0.00999406,0.00999406
5,271.534,1.84179,1.6534,1.27793,0.64617,0.51342,0.56171,0.30978,1.29241,1.36262,1.01102,0.00999208,0.00999208,0.00999208
6,324.52,1.85757,1.75197,1.24469,0.58705,0.55486,0.5514,0.29,1.35259,1.44453,0.9629,0.0099901,0.0099901,0.0099901
7,377.736,1.84219,1.67935,1.27927,0.61315,0.54476,0.5459,0.25996,1.34401,1.64287,1.0105,0.00998812,0.00998812,0.00998812
8,430.763,1.80966,1.62666,1.2349,0.53926,0.4673,0.50715,0.23284,1.50384,1.38687,1.05126,0.00998614,0.00998614,0.00998614
9,483.838,1.83778,1.57666,1.25352,0.59661,0.53959,0.52558,0.24279,1.34991,1.5871,1.02391,0.00998416,0.00998416,0.00998416
10,536.847,1.80831,1.62851,1.26396,0.64892,0.53279,0.55848,0.30177,1.23522,1.59886,1.04265,0.00998218,0.00998218,0.00998218
11,590.107,1.77108,1.57829,1.27495,0.57762,0.55681,0.50922,0.25522,1.35861,1.82195,1.01396,0.0099802,0.0099802,0.0099802
12,643.035,1.81413,1.51374,1.26516,0.66928,0.52973,0.57759,0.31192,1.21243,1.45156,0.9877,0.00997822,0.00997822,0.00997822
13,696.04,1.77119,1.51471,1.27711,0.62453,0.53814,0.54625,0.27687,1.41252,1.41813,1.01696,0.00997624,0.00997624,0.00997624
14,749.032,1.8789,1.54081,1.24138,0.71679,0.54553,0.59459,0.29972,1.35961,1.31726,0.97383,0.00997426,0.00997426,0.00997426
15,802.242,1.78974,1.58682,1.24624,0.59916,0.55303,0.55747,0.29043,1.31861,1.70495,1.0076,0.00997228,0.00997228,0.00997228
16,855.018,1.73529,1.47558,1.2152,0.62425,0.51621,0.56635,0.3219,1.24663,1.28643,0.958,0.0099703,0.0099703,0.0099703
17,908.19,1.8076,1.555,1.27413,0.65042,0.5489,0.6005,0.31905,1.25221,1.28695,0.9944,0.00996832,0.00996832,0.00996832
18,961.124,1.73542,1.41039,1.24182,0.68254,0.55171,0.62729,0.32273,1.29041,1.32904,0.97204,0.00996634,0.00996634,0.00996634
19,1014.21,1.73599,1.47362,1.22138,0.61181,0.56152,0.60269,0.35017,1.19102,1.25891,1.00523,0.00996436,0.00996436,0.00996436
20,1067.24,1.76076,1.4848,1.26136,0.64058,0.58255,0.61235,0.31839,1.24013,1.22249,0.9729,0.00996238,0.00996238,0.00996238
21,1120.25,1.7071,1.43193,1.21419,0.65363,0.60301,0.63116,0.36677,1.1668,1.23574,0.93958,0.0099604,0.0099604,0.0099604
22,1173.94,1.75554,1.44289,1.26363,0.69604,0.54663,0.58253,0.3031,1.25696,1.35689,0.95473,0.00995842,0.00995842,0.00995842
23,1227.03,1.75021,1.44134,1.27519,0.776,0.51814,0.63361,0.35755,1.19356,1.18711,0.98066,0.00995644,0.00995644,0.00995644
24,1279.98,1.71913,1.33833,1.2398,0.65418,0.56,0.57416,0.32487,1.22837,1.31821,0.99094,0.00995446,0.00995446,0.00995446
25,1333.12,1.74988,1.39133,1.24408,0.65928,0.59802,0.62091,0.32691,1.28653,1.19375,0.96561,0.00995248,0.00995248,0.00995248
26,1386.14,1.7077,1.34326,1.16639,0.61783,0.58351,0.57449,0.30269,1.18238,1.22985,0.94517,0.0099505,0.0099505,0.0099505
27,1439.3,1.69067,1.36441,1.23544,0.63795,0.61466,0.64109,0.36807,1.13582,1.08604,0.92959,0.00994852,0.00994852,0.00994852
28,1493.04,1.6879,1.30145,1.22185,0.64522,0.64292,0.64608,0.36353,1.16475,1.15439,0.96039,0.00994654,0.00994654,0.00994654
29,1546.14,1.70752,1.36684,1.22414,0.66905,0.57471,0.61175,0.34156,1.1448,1.15267,0.93267,0.00994456,0.00994456,0.00994456
30,1599.06,1.67695,1.31386,1.21032,0.64064,0.56797,0.60675,0.3399,1.18491,1.1309,0.95924,0.00994258,0.00994258,0.00994258
31,1652.11,1.68419,1.34606,1.17032,0.61432,0.62576,0.60738,0.35178,1.11226,1.15609,0.94198,0.0099406,0.0099406,0.0099406
32,1705.07,1.68842,1.3218,1.19614,0.66002,0.63329,0.64774,0.36859,1.13094,1.10641,0.92138,0.00993862,0.00993862,0.00993862
33,1758.99,1.66608,1.32949,1.1866,0.67344,0.56471,0.59349,0.32415,1.1873,1.188,0.93584,0.00993664,0.00993664,0.00993664
34,1811.97,1.74561,1.36555,1.20577,0.62974,0.60888,0.61294,0.33481,1.12157,1.16041,0.93221,0.00993466,0.00993466,0.00993466
35,1865.1,1.70105,1.35069,1.20321,0.67587,0.5804,0.63401,0.36869,1.13454,1.07291,0.96121,0.00993268,0.00993268,0.00993268
36,1918.05,1.67844,1.34914,1.18033,0.66078,0.62469,0.62674,0.35085,1.16996,1.18992,0.93972,0.0099307,0.0099307,0.0099307
37,1971.11,1.64971,1.36165,1.20195,0.66751,0.59979,0.65221,0.37674,1.08892,1.14333,0.93988,0.00992872,0.00992872,0.00992872
38,2024.83,1.66213,1.3868,1.18207,0.72874,0.57811,0.6498,0.40015,1.10138,1.21607,0.96711,0.00992674,0.00992674,0.00992674
39,2078.77,1.69168,1.36902,1.19098,0.66884,0.59212,0.62677,0.35258,1.15317,1.14601,0.96368,0.00992476,0.00992476,0.00992476
40,2131.91,1.71012,1.37264,1.23108,0.72696,0.55232,0.63853,0.36119,1.13675,1.43432,0.96236,0.00992278,0.00992278,0.00992278
41,2185,1.66159,1.35485,1.20155,0.65393,0.60444,0.64473,0.35456,1.11055,1.08379,0.91624,0.0099208,0.0099208,0.0099208
42,2237.99,1.64849,1.29544,1.21718,0.63055,0.58565,0.56484,0.33608,1.11606,1.27735,0.92512,0.00991882,0.00991882,0.00991882
43,2290.96,1.65335,1.29327,1.15761,0.72905,0.57579,0.6405,0.38582,1.13122,1.07068,0.95402,0.00991684,0.00991684,0.00991684
44,2344,1.64756,1.27513,1.17841,0.64288,0.60348,0.64509,0.38174,1.08613,1.10867,0.94187,0.00991486,0.00991486,0.00991486
45,2397.03,1.65302,1.3324,1.20466,0.64516,0.63007,0.65499,0.39339,1.08432,1.03068,0.9473,0.00991288,0.00991288,0.00991288
46,2450.02,1.66509,1.27178,1.23316,0.6711,0.63294,0.67499,0.40102,1.09155,1.02415,0.92302,0.0099109,0.0099109,0.0099109
47,2503.68,1.65817,1.31495,1.20866,0.68958,0.59282,0.63901,0.37881,1.09195,1.1005,0.9622,0.00990892,0.00990892,0.00990892
48,2556.74,1.67997,1.2534,1.20211,0.7135,0.64897,0.69052,0.41644,1.05719,0.97829,0.94851,0.00990694,0.00990694,0.00990694
49,2610.42,1.64398,1.28695,1.19502,0.67076,0.6496,0.69057,0.39028,1.05435,1.10181,0.96585,0.00990496,0.00990496,0.00990496
50,2663.45,1.64824,1.26229,1.1459,0.70721,0.59923,0.6565,0.3866,1.10503,1.1106,0.95428,0.00990298,0.00990298,0.00990298
51,2716.4,1.63093,1.26484,1.13948,0.64337,0.61358,0.63109,0.36928,1.09418,1.11095,0.938,0.009901,0.009901,0.009901
52,2769.36,1.63645,1.29154,1.16442,0.66185,0.64761,0.65646,0.38648,1.03997,1.0204,0.9404,0.00989902,0.00989902,0.00989902
53,2822.36,1.7014,1.26693,1.21807,0.66417,0.62884,0.64563,0.36677,1.10636,1.08434,0.91326,0.00989704,0.00989704,0.00989704
54,2875.26,1.66145,1.27582,1.21997,0.717,0.61474,0.65893,0.39377,1.07824,1.02508,0.95172,0.00989506,0.00989506,0.00989506
55,2928.34,1.62917,1.21517,1.21846,0.72928,0.64425,0.68989,0.39897,1.08575,1.10053,0.9589,0.00989308,0.00989308,0.00989308
56,2981.21,1.64654,1.27156,1.18001,0.64723,0.6698,0.67381,0.40805,1.00842,0.97804,0.93572,0.0098911,0.0098911,0.0098911
57,3034.21,1.5885,1.24566,1.17055,0.64842,0.65906,0.6596,0.4036,1.02417,1.0385,0.93237,0.00988912,0.00988912,0.00988912
58,3087.13,1.64331,1.26876,1.19275,0.68313,0.63832,0.67856,0.41331,1.05337,1.00382,0.94623,0.00988714,0.00988714,0.00988714
59,3140.26,1.62528,1.24145,1.23532,0.70006,0.62738,0.68097,0.415,1.02522,1.02791,0.92797,0.00988516,0.00988516,0.00988516
60,3193.16,1.68763,1.23637,1.17955,0.65263,0.66229,0.67638,0.40135,1.0365,0.93892,0.89979,0.00988318,0.00988318,0.00988318
61,3246.24,1.57303,1.25168,1.14928,0.67621,0.61449,0.65008,0.39329,1.08327,0.97638,0.91784,0.0098812,0.0098812,0.0098812
62,3299.24,1.64778,1.23523,1.19331,0.72069,0.62649,0.68509,0.40955,1.03265,1.00434,0.91212,0.00987922,0.00987922,0.00987922
63,3352.27,1.65596,1.27744,1.18751,0.67325,0.67055,0.69707,0.43726,1.03908,0.95178,0.90478,0.00987724,0.00987724,0.00987724
64,3405.93,1.62135,1.24522,1.20527,0.68695,0.6625,0.7003,0.43661,1.06319,0.92671,0.91672,0.00987526,0.00987526,0.00987526
65,3458.92,1.63443,1.24442,1.21468,0.67205,0.6589,0.70695,0.41616,1.0458,1.00737,0.91945,0.00987328,0.00987328,0.00987328
66,3511.74,1.60749,1.19016,1.19917,0.6829,0.62272,0.67691,0.42256,1.02844,1.05361,0.9162,0.0098713,0.0098713,0.0098713
67,3564.69,1.57043,1.2195,1.17049,0.65251,0.64726,0.67349,0.42546,1.03332,0.97786,0.92125,0.00986932,0.00986932,0.00986932
68,3617.59,1.61998,1.18751,1.17984,0.69528,0.64163,0.66915,0.41407,1.00883,0.96778,0.91052,0.00986734,0.00986734,0.00986734
69,3670.68,1.64338,1.2307,1.186,0.67606,0.64898,0.67524,0.42027,0.98168,0.99938,0.90612,0.00986536,0.00986536,0.00986536
70,3723.68,1.59973,1.22795,1.18772,0.69134,0.68133,0.67643,0.42142,0.96056,0.90521,0.90307,0.00986338,0.00986338,0.00986338
71,3776.63,1.56555,1.22039,1.18987,0.71179,0.66964,0.69247,0.43999,1.01523,0.92078,0.91062,0.0098614,0.0098614,0.0098614
72,3830.52,1.58654,1.17876,1.16789,0.72809,0.63975,0.69223,0.43176,0.96439,0.91017,0.885,0.00985942,0.00985942,0.00985942
73,3883.56,1.5811,1.16274,1.13368,0.66142,0.67001,0.67659,0.42818,0.9867,0.91786,0.89518,0.00985744,0.00985744,0.00985744
74,3936.6,1.60667,1.21221,1.14147,0.73506,0.66197,0.71669,0.43896,0.98877,0.92031,0.91176,0.00985546,0.00985546,0.00985546
