class_id,latitude,longitude,confidence,length,breadth,heading,date,aoi_id,source
1,41.79712678,8.7013755,0.728,99.9,13.4,69.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.78846541,8.67658044,0.721,107.4,16.4,70.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.80877079,8.73617349,0.716,166.9,26.2,82.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.80500494,8.72905013,0.709,109.0,16.5,39.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.73278918,8.77482465,0.709,49.5,14.7,154.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.72169569,8.73288467,0.703,120.6,16.2,24.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.83833934,8.76151588,0.692,68.0,12.9,23.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.85343817,8.77932354,0.692,72.9,18.1,57.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.83271088,8.7641943,0.672,94.9,15.8,155.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.82146511,8.74780356,0.671,62.3,12.3,52.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.81757349,8.74777884,0.663,51.1,12.3,74.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.723766,8.69892934,0.659,136.9,20.0,104.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.94047017,8.59473618,0.629,103.1,15.5,95.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.81798723,8.75959709,0.627,79.3,11.3,110.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.90520532,8.72939761,0.625,86.7,20.7,32.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.76374342,8.66475468,0.624,105.2,26.7,54.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.80052136,8.7373134,0.617,54.6,11.0,126.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
