class_id,latitude,longitude,length,breadth,heading,date
1,41.62531053,9.38983173,35.3,10.6,32.0,20200408
1,41.30939393,9.30089156,94.5,19.7,44.0,20200424
1,41.36732066,9.24483704,109.7,15.7,153.0,20200425
1,41.55193173,9.37657733,44.8,9.2,87.0,20200425
0,41.40296753,9.25880557,87.4,23.7,38.0,20200405
0,41.36582741,9.31549894,40.8,20.9,50.0,20200405
0,41.42610885,9.23022637,34.1,23.5,78.0,20200405
0,41.37637357,9.22203916,4.5,4.4,81.0,20200405
0,41.37588429,9.22273426,9.0,7.0,74.0,20200405
0,41.40819127,9.22546047,9.0,4.4,70.0,20200405
0,41.40555685,9.2238852,6.0,4.3,79.0,20200405
0,41.53856817,9.2958536,7.0,5.5,173.0,20200405
0,41.53029554,9.2797776,6.3,4.3,73.0,20200405
0,41.43482988,9.22460531,7.0,4.3,80.0,20200405
0,41.37943762,9.29226649,34.4,16.9,52.0,20200405
0,41.40513618,9.22337412,4.9,4.1,82.0,20200405
0,41.45028056,9.24684097,21.7,18.1,80.0,20200405
0,41.38679061,9.26075976,17.5,15.2,166.0,20200405
0,41.37666725,9.22341155,5.7,5.1,76.0,20200405
0,41.34993144,9.33071679,16.3,8.2,86.0,20200405
0,41.45975925,9.31463508,17.7,15.2,80.0,20200405
0,41.47393604,9.07571592,6.4,3.5,81.0,20200405
0,41.37596642,9.22266683,12.8,4.5,74.0,20200408
0,41.54912894,9.39514235,14.0,6.1,122.0,20200408
0,41.37619844,9.22207022,7.5,3.7,75.0,20200408
0,41.62258166,9.30450885,5.5,3.8,78.0,20200408
0,41.61893442,9.30792668,7.7,4.9,144.0,20200408
0,41.68188969,9.37783199,9.1,4.4,81.0,20200408
0,41.62043493,9.30678671,13.4,4.9,71.0,20200408
0,41.61988304,9.30590734,6.5,3.7,76.0,20200408
0,41.62245177,9.30424006,6.0,3.8,85.0,20200408
0,41.58492681,9.2949641,10.7,3.5,74.0,20200408
0,41.62011848,9.30595185,6.6,3.3,80.0,20200408
0,41.34521498,9.27190448,38.6,12.7,170.0,20200408
0,41.65366248,9.49972864,20.8,8.7,117.0,20200408
0,41.40840804,9.22541939,7.3,6.5,172.0,20200408
0,41.62011594,9.30661697,7.0,4.4,73.0,20200408
0,41.62249933,9.30616593,10.3,5.2,92.0,20200408
0,41.60472856,9.2871565,7.0,4.4,80.0,20200408
0,41.62054488,9.30667746,11.7,5.2,69.0,20200408
0,41.62019792,9.30614484,6.6,4.2,71.0,20200408
0,41.61937285,9.30686005,7.7,3.6,76.0,20200408
0,41.60757677,9.29209763,8.6,5.2,91.0,20200408
0,41.62004623,9.30615663,7.5,4.5,79.0,20200408
0,41.43709842,9.23827599,9.0,3.5,87.0,20200408
0,41.40588939,9.22486847,6.1,5.0,170.0,20200408
0,41.62498565,9.31007165,9.6,7.3,151.0,20200408
0,41.4056148,9.22385944,5.5,4.2,79.0,20200408
0,41.37649041,9.2221058,5.2,3.4,80.0,20200408
0,41.6292047,9.35001662,5.3,4.5,80.0,20200408
0,41.39179454,9.15605681,5.0,4.4,79.0,20200408
0,41.62542557,9.31226079,5.9,4.2,88.0,20200408
0,41.40516193,9.22348157,6.1,4.4,159.0,20200408
0,41.53053535,9.27906421,5.9,5.4,83.0,20200408
0,41.62053623,9.33735832,9.7,4.3,90.0,20200408
0,41.59001895,9.28884656,8.0,3.5,83.0,20200408
0,41.62541156,9.30960559,8.6,5.1,156.0,20200408
0,41.40550147,9.22392189,5.5,4.4,79.0,20200408
0,41.41413253,9.219419,6.8,4.4,169.0,20200408
0,41.597076,9.28295138,6.0,3.9,87.0,20200408
0,41.53037604,9.27975909,8.4,4.5,160.0,20200408
0,41.52294465,9.27578203,5.5,4.3,79.0,20200408
0,41.59395964,9.28463342,5.1,3.8,80.0,20200408
0,41.56415261,9.37093908,7.4,3.9,89.0,20200408
0,41.62846079,9.3082863,7.4,3.6,88.0,20200408
0,41.39100675,9.15567971,6.9,4.7,165.0,20200408
0,41.39825444,9.13240422,25.6,15.4,84.0,20200408
0,41.59678085,9.36515112,43.4,11.1,92.0,20200408
0,41.3905871,9.15618951,5.2,5.1,165.0,20200408
0,41.59647075,9.28315276,5.4,4.0,81.0,20200408
0,41.33986719,9.25094431,6.8,4.8,86.0,20200408
0,41.69762707,9.40143251,4.7,4.1,81.0,20200408
0,41.3661179,9.21061841,10.2,4.6,73.0,20200408
0,41.5909049,9.28515342,18.7,7.3,78.0,20200408
0,41.37202979,9.24374892,141.0,30.3,71.0,20200411
0,41.37596237,9.2226635,12.9,4.3,57.0,20200411
0,41.40840647,9.22544594,12.0,4.3,83.0,20200411
0,41.50936395,9.39855202,17.1,6.2,58.0,20200411
0,41.65553404,9.38889606,40.0,20.2,90.0,20200411
0,41.62246156,9.30614818,12.9,5.1,75.0,20200411
0,41.52295976,9.27578116,7.2,4.0,59.0,20200411
0,41.60757549,9.29210291,13.6,5.8,64.0,20200411
0,41.37071372,9.17788288,86.9,21.6,7.0,20200416
0,41.53883281,9.32781817,150.8,37.8,77.0,20200416
0,41.6118239,9.307126,45.7,16.2,67.0,20200416
0,41.3759681,9.22265119,12.0,4.6,53.0,20200416
0,41.42252502,9.27421371,36.7,18.5,141.0,20200416
0,41.40836477,9.22547951,6.5,6.2,178.0,20200416
0,41.68191847,9.377841,6.7,4.2,86.0,20200416
0,41.42393859,9.09848311,25.0,9.9,2.0,20200416
0,41.60761391,9.29206873,10.7,5.0,66.0,20200416
0,41.61664757,9.39898126,44.6,10.0,99.0,20200416
0,41.52214339,9.28031351,31.7,25.6,152.0,20200416
0,41.66406306,9.38191282,8.0,4.0,171.0,20200416
0,41.64857553,9.37912168,5.2,4.4,165.0,20200416
0,41.39808134,9.13238963,21.0,18.9,83.0,20200416
0,41.54809438,9.31492308,33.5,24.2,166.0,20200416
0,41.63564002,9.51012556,34.4,12.1,110.0,20200416
0,41.74716461,9.40624001,88.7,16.2,92.0,20200424
0,41.3095006,9.30101461,79.2,23.4,49.0,20200424
0,41.62008808,9.30592964,7.3,3.8,74.0,20200424
0,41.62007798,9.30657451,8.0,3.9,77.0,20200424
0,41.62043291,9.3067374,17.1,7.3,62.0,20200424
0,41.6193431,9.30682914,13.7,4.5,74.0,20200424
0,41.61985773,9.30588041,6.0,3.8,76.0,20200424
0,41.68190026,9.37782245,8.9,4.4,77.0,20200424
0,41.621875,9.30546383,9.1,4.9,73.0,20200424
0,41.62017877,9.30614117,7.4,4.2,68.0,20200424
0,41.40844296,9.22560474,11.2,4.1,65.0,20200424
0,41.37593506,9.22273596,10.6,5.2,61.0,20200424
0,41.6224146,9.30423411,6.1,4.0,82.0,20200424
0,41.62000781,9.30609242,8.5,5.2,76.0,20200424
0,41.62245318,9.30614637,10.5,6.1,68.0,20200424
0,41.62540396,9.30955266,10.5,5.5,93.0,20200424
0,41.62499144,9.31008948,11.0,7.4,93.0,20200424
0,41.6075601,9.2920645,10.2,5.7,63.0,20200424
0,41.62254431,9.30452134,5.6,3.9,78.0,20200424
0,41.40561524,9.22383034,7.6,3.8,67.0,20200424
0,41.65546933,9.38900391,27.3,8.5,93.0,20200424
0,41.4051738,9.22357751,5.4,4.2,83.0,20200424
0,41.40517278,9.22338239,5.4,4.6,73.0,20200424
0,41.6712352,9.39070511,15.2,12.2,163.0,20200424
0,41.40585176,9.22490233,4.4,4.1,82.0,20200424
0,41.5878688,9.29204519,147.1,31.5,54.0,20200425
0,41.68368397,9.40203864,79.0,12.9,1.0,20200425
0,41.62010251,9.30775009,46.5,8.8,65.0,20200425
0,41.53986556,9.39047021,15.8,6.7,48.0,20200425
0,41.62545267,9.30970296,12.0,4.9,97.0,20200425
0,41.37593171,9.22269748,12.0,4.2,71.0,20200425
0,41.61987094,9.30592375,8.6,4.1,80.0,20200425
0,41.62257668,9.30456815,6.5,3.5,83.0,20200425
0,41.40832888,9.22539984,10.4,4.3,71.0,20200425
0,41.60768156,9.29221653,12.2,5.0,96.0,20200425
0,41.62502874,9.31023536,13.5,5.7,94.0,20200425
0,41.62189861,9.3055579,10.7,4.7,89.0,20200425
