matched,gt_class,gt_lat,gt_lon,dt_class,dt_lat,dt_lon
True,1.0,41.37199,9.28232,0.0,41.372023,9.282505
True,0.0,41.36111,9.229847,0.0,41.360881,9.22997
True,1.0,41.42043,9.089334,1.0,41.420436,9.088973
True,0.0,41.36661,9.28306,0.0,41.366617,9.283199
True,1.0,41.43036,9.231403,0.0,41.430058,9.230334
True,1.0,41.36196,9.257825,0.0,41.362263,9.257953
True,1.0,41.59372,9.291832,0.0,41.593406,9.291027
True,0.0,41.43,9.228333,0.0,41.430421,9.228899
True,1.0,41.60713,9.299585,1.0,41.607435,9.299611
True,1.0,41.36555,9.252975,0.0,41.365876,9.253065
True,1.0,41.38395,9.148378,0.0,41.384072,9.150278
True,1.0,41.42562,9.08621,0.0,41.425753,9.086467
True,1.0,41.38417,9.144975,1.0,41.383716,9.14669
True,1.0,41.3385,9.271,0.0,41.338632,9.271126
False,1.0,41.3369,9.251101,,,
False,0.0,41.36731,9.254735,,,
False,0.0,41.36155,9.264065,,,
False,1.0,41.47586,9.338473,,,
False,0.0,41.47424,9.072371,,,
False,1.0,41.44364,9.056916,,,
False,0.0,41.38874,9.159328,,,
False,1.0,41.33293,9.26501,,,
False,1.0,41.37753,9.136497,,,
False,1.0,41.41691,9.364424,,,
False,0.0,41.3886,9.15848,,,
False,1.0,41.39465,9.125319,,,
False,1.0,41.40776,9.062217,,,
False,1.0,41.33827,9.16056,,,
False,1.0,41.42096,9.226885,,,
False,1.0,41.41971,9.27148,,,
False,1.0,41.52495,9.277407,,,
False,1.0,41.66724,9.388157,,,
False,0.0,41.38863,9.159288,,,
False,1.0,41.63358,9.35255,,,
False,1.0,41.5408,9.318865,,,
False,1.0,41.45797,9.385549,,,
False,1.0,41.34616,9.197893,,,
False,0.0,41.46343,9.266318,,,
False,1.0,41.30636,9.218904,,,
False,1.0,41.39875,9.070235,,,
False,0.0,41.38886,9.160196,,,
False,1.0,41.64728,9.390088,,,
False,1.0,41.43151,9.252595,,,
False,0.0,41.38866,9.158707,,,
False,1.0,41.60835,9.364923,,,
False,1.0,41.3843,9.161734,,,
False,0.0,41.38873,9.15729,,,
False,1.0,41.38212,9.163918,,,
False,1.0,41.33731,9.256492,,,
False,0.0,41.33866,9.250662,,,
False,1.0,41.70685,9.409877,,,
False,1.0,41.31801,9.13449,,,
False,1.0,41.51062,9.401665,,,
False,0.0,41.38874,9.159059,,,
False,0.0,41.59192,9.301947,,,
False,0.0,41.67411,9.377408,,,
False,0.0,41.36972,9.267656,,,
False,0.0,41.34838,9.156517,,,
False,0.0,41.38875,9.161038,,,
False,0.0,41.63563,9.358327,,,
False,1.0,41.49992,9.318347,,,
False,0.0,41.38831,9.162058,,,
False,1.0,41.33929,9.25219,,,
False,1.0,41.3692,9.22334,,,
False,1.0,41.54607,9.40666,,,
False,1.0,41.29747,9.175755,,,
False,0.0,41.38876,9.158802,,,
False,1.0,41.33619,9.250332,,,
False,1.0,41.38654,9.115507,,,
False,1.0,41.36672,9.15426,,,
False,0.0,41.41136,9.220562,,,
False,1.0,41.60446,9.370579,,,
False,0.0,41.38959,9.159788,,,
False,1.0,41.6759,9.38767,,,
False,1.0,41.30569,9.28864,,,
False,1.0,41.38092,9.14779,,,
False,1.0,41.34764,9.204728,,,
False,1.0,41.35696,9.240227,,,
False,0.0,41.38873,9.159687,,,
False,1.0,41.60747,9.353193,,,
False,1.0,41.3743,9.152449,,,
False,1.0,41.35843,9.194533,,,
False,1.0,41.37725,9.151908,,,
False,0.0,41.37399,9.1782,,,
False,1.0,41.31278,9.2803,,,
False,1.0,41.44081,9.24399,,,
False,0.0,41.47421,9.072746,,,
False,0.0,41.38903,9.16485,,,
False,1.0,41.31703,9.311563,,,
False,1.0,41.40004,9.261148,,,
False,0.0,41.33721,9.251429,,,
False,0.0,41.67304,9.378593,,,
