matched,gt_class,gt_lat,gt_lon,dt_class,dt_lat,dt_lon
True,1.0,41.59372,9.291832,1.0,41.59263157,9.29268098
True,1.0,41.60835,9.364923,1.0,41.60781878,9.36478186
True,1.0,41.38395,9.148378,1.0,41.38320322,9.14768543
True,1.0,41.44364,9.056916,1.0,41.4431031,9.05559598
True,1.0,41.43151,9.252595,1.0,41.43237087,9.25114512
True,1.0,41.3385,9.271,0.0,41.33852345,9.27105026
True,1.0,41.37199,9.28232,0.0,41.37213911,9.28221859
True,1.0,41.37725,9.151908,0.0,41.37762937,9.1512342
True,0.0,41.36111,9.229847,0.0,41.36088915,9.23011261
True,1.0,41.42562,9.08621,0.0,41.42576509,9.08646969
True,0.0,41.46975,9.268633,0.0,41.4697555,9.26862519
True,0.0,41.36731,9.254735,0.0,41.36734821,9.25477275
True,1.0,41.63358,9.35255,0.0,41.63519033,9.35288601
True,0.0,41.36972,9.267656,0.0,41.3696899,9.26773442
True,0.0,41.63563,9.358327,0.0,41.63603027,9.35788846
True,1.0,41.42043,9.089334,0.0,41.42044875,9.08891909
True,1.0,41.41971,9.27148,0.0,41.4192744,9.27308396
True,0.0,41.33875,9.252707,0.0,41.33875003,9.25274383
True,0.0,41.46343,9.266318,0.0,41.46357445,9.26633981
True,1.0,41.63545,9.356818,0.0,41.63489471,9.35762124
True,0.0,41.33866,9.250662,0.0,41.33876235,9.25094309
True,1.0,41.33731,9.256492,0.0,41.33741737,9.25652864
True,0.0,41.67304,9.378593,0.0,41.67306538,9.37861973
True,1.0,41.52495,9.277407,0.0,41.52450682,9.27722682
True,0.0,41.67411,9.377408,0.0,41.6741709,9.37738996
True,1.0,41.33929,9.25219,0.0,41.33929924,9.25209643
True,0.0,41.36661,9.28306,0.0,41.3666068,9.2830986
True,0.0,41.33721,9.251429,0.0,41.33764755,9.25178039
True,1.0,41.42096,9.226885,0.0,41.4208817,9.2264248
True,0.0,41.59192,9.301947,0.0,41.5919606,9.30204192
True,0.0,41.41136,9.220562,0.0,41.41133295,9.22061165
True,1.0,41.46982,9.065895,0.0,41.46988083,9.0659146
True,1.0,41.60713,9.299585,0.0,41.60698242,9.29974524
True,1.0,41.66724,9.388157,0.0,41.66735329,9.38812668
True,1.0,41.33619,9.250332,0.0,41.3377579,9.25100063
True,1.0,41.3692,9.22334,0.0,41.37050592,9.22353173
True,1.0,41.36555,9.252975,0.0,41.36557298,9.25298634
True,1.0,41.3369,9.251101,0.0,41.33722005,9.25191249
False,1.0,41.36196,9.257825,,,
False,0.0,41.36155,9.264065,,,
False,1.0,41.47586,9.338473,,,
False,0.0,41.47424,9.072371,,,
False,0.0,41.38874,9.159328,,,
False,1.0,41.33293,9.26501,,,
False,1.0,41.37753,9.136497,,,
False,1.0,41.41691,9.364424,,,
False,0.0,41.3886,9.15848,,,
False,1.0,41.39465,9.125319,,,
False,1.0,41.40776,9.062217,,,
False,1.0,41.33827,9.16056,,,
False,0.0,41.38863,9.159288,,,
False,1.0,41.5408,9.318865,,,
False,1.0,41.45797,9.385549,,,
False,1.0,41.34616,9.197893,,,
False,1.0,41.30636,9.218904,,,
False,1.0,41.39875,9.070235,,,
False,0.0,41.38886,9.160196,,,
False,1.0,41.64728,9.390088,,,
False,0.0,41.38866,9.158707,,,
False,1.0,41.3843,9.161734,,,
False,0.0,41.38873,9.15729,,,
False,1.0,41.38212,9.163918,,,
False,1.0,41.70685,9.409877,,,
False,1.0,41.31801,9.13449,,,
False,1.0,41.51062,9.401665,,,
False,0.0,41.38874,9.159059,,,
False,0.0,41.34838,9.156517,,,
False,0.0,41.38875,9.161038,,,
False,1.0,41.49992,9.318347,,,
False,0.0,41.38831,9.162058,,,
False,1.0,41.54607,9.40666,,,
False,1.0,41.29747,9.175755,,,
False,1.0,41.38417,9.144975,,,
False,0.0,41.38876,9.158802,,,
False,1.0,41.38654,9.115507,,,
False,1.0,41.36672,9.15426,,,
False,1.0,41.60446,9.370579,,,
False,0.0,41.43,9.228333,,,
False,0.0,41.38959,9.159788,,,
False,1.0,41.6759,9.38767,,,
False,1.0,41.30569,9.28864,,,
False,1.0,41.38092,9.14779,,,
False,1.0,41.34764,9.204728,,,
False,1.0,41.35696,9.240227,,,
False,1.0,41.43036,9.231403,,,
False,0.0,41.38873,9.159687,,,
False,1.0,41.60747,9.353193,,,
False,1.0,41.3743,9.152449,,,
False,1.0,41.35843,9.194533,,,
False,0.0,41.37399,9.1782,,,
False,1.0,41.31278,9.2803,,,
False,1.0,41.44081,9.24399,,,
False,0.0,41.47421,9.072746,,,
False,0.0,41.38903,9.16485,,,
False,1.0,41.31703,9.311563,,,
False,1.0,41.40004,9.261148,,,
False,1.0,41.42295,9.088346,,,
False,1.0,41.62956,9.371745,,,
False,1.0,41.39146,9.064687,,,
False,0.0,41.38886,9.16,,,
False,1.0,41.3467,9.252493,,,
False,0.0,41.3888,9.16096,,,
False,1.0,41.37825,9.062407,,,
False,0.0,41.34508,9.252717,,,
False,1.0,41.33096,9.320425,,,
False,1.0,41.71519,9.458689,,,
False,1.0,41.52738,9.322828,,,
False,1.0,41.32268,9.183853,,,
False,1.0,41.47452,9.071631,,,
False,0.0,41.3634,9.258507,,,
False,0.0,41.38865,9.158597,,,
False,1.0,41.52327,9.300917,,,
False,1.0,41.31795,9.336068,,,
False,1.0,41.37047,9.15461,,,
False,0.0,41.47409,9.072615,,,
False,1.0,41.43531,9.103688,,,
False,1.0,41.31799,9.1453,,,
False,1.0,41.33703,9.27497,,,
False,1.0,41.33909,9.157175,,,
False,0.0,41.38878,9.159516,,,
False,1.0,41.38849,9.161585,,,
False,1.0,41.3203,9.165399,,,
False,,,,1.0,41.35637207,9.1936407
False,,,,1.0,41.56305526,9.35462038
False,,,,1.0,41.30587027,9.30352814
