class_id,latitude,longitude,confidence,length,breadth,heading
0,41.92541618,8.77516171,0.9,25.6,25.4,177.0
0,42.13396165,8.612006,0.888,25.4,25.3,177.0
0,42.04257129,8.73966837,0.886,22.2,22.2,87.0
0,42.04213101,8.73843339,0.885,22.6,22.4,178.0
0,41.92624078,8.77020283,0.883,24.6,23.6,178.0
0,42.11160525,8.69815912,0.882,23.5,23.4,174.0
0,42.11395397,8.68947011,0.882,22.5,22.2,177.0
0,41.98677093,8.62499252,0.882,29.1,28.9,87.0
0,42.11326167,8.69231729,0.881,23.1,23.0,177.0
0,41.99260996,8.66486293,0.879,24.9,24.7,179.0
0,41.99230049,8.6657653,0.877,23.4,23.2,177.0
0,42.04214755,8.73530828,0.876,22.6,22.1,175.0
0,42.13329498,8.61214798,0.876,26.1,25.9,88.0
0,42.13281787,8.61147525,0.876,25.3,25.1,86.0
0,42.10937235,8.69062019,0.875,24.0,23.8,177.0
0,42.06356523,8.73519507,0.875,23.4,23.4,86.0
0,42.11162008,8.69954762,0.875,22.3,21.6,87.0
0,42.11218625,8.68971105,0.874,22.0,21.9,86.0
0,42.06315258,8.73583685,0.874,23.2,23.2,177.0
0,42.06356141,8.7364131,0.874,23.8,23.8,178.0
0,41.92601741,8.77459669,0.873,25.0,24.8,176.0
0,42.11332368,8.69058644,0.872,22.5,21.7,87.0
0,41.90512405,8.67931595,0.871,24.0,23.8,87.0
0,41.90533999,8.67869752,0.87,23.2,22.9,87.0
0,41.93220865,8.74436905,0.87,21.5,21.4,87.0
0,42.11283421,8.6908806,0.868,22.6,22.4,176.0
0,42.11291275,8.68969945,0.868,22.5,22.0,176.0
0,41.99175428,8.66492199,0.868,23.3,23.1,85.0
0,41.93311685,8.74640187,0.868,22.8,22.5,177.0
0,42.11144233,8.69700413,0.867,24.3,24.2,176.0
0,42.04195106,8.73474347,0.867,21.7,21.6,175.0
0,42.04368718,8.73347976,0.867,22.7,22.5,176.0
0,42.04321637,8.73163787,0.867,24.5,24.1,176.0
0,42.04215842,8.73441099,0.865,21.6,21.5,84.0
0,42.11268798,8.68970168,0.865,22.5,21.7,175.0
0,42.04394461,8.73559272,0.864,22.2,21.9,85.0
