class_id,latitude,longitude,confidence,length,breadth,heading
0,41.92731004,8.75508311,0.774,20.1,7.6,57.0
0,41.93160117,8.75096264,0.768,13.9,4.5,82.0
0,41.9207912,8.77482493,0.768,80.5,18.8,170.0
0,42.10937994,8.69061865,0.758,11.0,5.0,54.0
0,42.11290743,8.68970992,0.757,6.4,4.0,79.0
0,41.92541527,8.77516378,0.754,15.2,7.2,50.0
0,41.92250803,8.74285084,0.752,245.9,45.9,178.0
0,41.99277861,8.66582799,0.752,5.0,4.9,169.0
0,41.9324449,8.74763016,0.75,8.1,3.1,73.0
0,42.04321308,8.73163148,0.75,8.1,3.9,163.0
0,41.92744606,8.74449397,0.749,19.4,6.5,54.0
0,42.04147884,8.73733581,0.749,5.8,4.9,169.0
0,42.11332774,8.69058189,0.744,6.8,3.5,80.0
0,42.1139388,8.68947736,0.743,5.5,4.3,77.0
0,41.93160421,8.74751037,0.743,7.6,3.7,74.0
0,42.1109512,8.69057697,0.742,8.8,4.3,73.0
0,42.04278152,8.73786792,0.74,5.9,4.9,168.0
0,42.113064,8.68884609,0.74,6.5,4.0,79.0
0,42.1116146,8.69954375,0.738,7.0,4.0,80.0
0,41.92971097,8.74754456,0.737,21.6,8.1,60.0
0,41.92601097,8.7745986,0.737,7.1,3.5,78.0
0,42.13329412,8.61214547,0.736,14.1,5.8,39.0
0,42.04215844,8.73441885,0.736,6.8,4.2,144.0
0,41.99324231,8.66578129,0.735,6.7,5.0,80.0
0,42.11160315,8.69816957,0.732,6.1,4.5,71.0
0,42.1128346,8.6908935,0.731,7.2,4.1,79.0
0,41.90660324,8.67956157,0.73,10.2,6.2,155.0
0,42.04214362,8.73531565,0.73,7.9,4.0,155.0
0,42.11269275,8.68971437,0.729,5.5,4.2,79.0
0,41.92600502,8.7711887,0.729,8.1,3.6,69.0
0,42.06356791,8.73519638,0.729,5.9,4.9,170.0
0,42.04212708,8.73844252,0.727,5.5,5.2,76.0
0,41.93220186,8.74437641,0.727,7.4,3.7,78.0
0,41.92873554,8.74524537,0.726,19.8,8.1,99.0
0,42.13396452,8.61201045,0.724,6.7,3.9,58.0
0,41.93311466,8.7464037,0.724,5.5,4.6,82.0
0,42.06315073,8.73582648,0.723,7.6,4.9,63.0
0,41.9262436,8.77021713,0.722,7.0,3.9,77.0
0,42.04194577,8.73474268,0.722,7.2,4.6,152.0
0,41.93162457,8.74704183,0.721,9.5,3.9,74.0
0,41.99359964,8.66578325,0.718,5.2,4.0,81.0
0,41.92197661,8.74193031,0.718,90.1,21.6,179.0
0,42.11351127,8.69029381,0.717,6.6,4.4,81.0
0,41.93227074,8.74647205,0.717,7.0,3.8,81.0
0,42.04257663,8.73966672,0.715,5.6,5.3,81.0
0,42.11218488,8.68969935,0.715,7.2,5.0,77.0
0,41.93177628,8.74524269,0.714,10.3,3.3,77.0
0,41.93141753,8.74646639,0.713,8.2,2.7,74.0
0,42.11158093,8.6998,0.711,5.9,3.9,80.0
0,41.90633421,8.67806056,0.71,5.5,4.0,81.0
0,42.04389299,8.73274406,0.71,11.1,4.4,174.0
0,41.93288809,8.74639274,0.709,6.2,4.0,82.0
1,41.9155736,8.74693139,0.705,180.1,25.7,80.0
0,41.93203032,8.74503888,0.705,13.9,4.4,76.0
1,41.9117221,8.74011643,0.704,119.4,14.9,40.0
1,42.04547532,8.73243483,0.703,68.2,18.0,135.0
0,41.96971008,8.63419548,0.703,21.7,6.7,132.0
0,41.90610807,8.60324942,0.702,103.4,18.2,97.0
1,42.12457684,8.57421004,0.7,96.0,14.2,148.0
1,42.06294761,8.71337347,0.699,61.3,14.5,75.0
0,42.06356782,8.73639906,0.697,7.3,5.3,71.0
0,41.99298337,8.66661249,0.693,5.3,4.4,79.0
0,42.11416338,8.68996645,0.692,6.0,3.9,75.0
0,41.90615519,8.67758611,0.691,4.8,4.6,80.0
0,42.11326477,8.69231677,0.691,7.6,4.2,78.0
0,41.99346335,8.66574609,0.691,5.1,4.8,81.0
0,41.93183002,8.74610447,0.686,6.8,3.6,76.0
0,42.0436859,8.73348046,0.685,9.5,4.6,159.0
0,42.11116943,8.69896885,0.684,7.8,3.8,75.0
0,42.13282419,8.61147572,0.684,8.0,4.9,52.0
1,42.06179388,8.69903444,0.684,145.1,17.2,144.0
0,41.93264808,8.74585256,0.683,5.9,4.1,80.0
0,42.13157284,8.60480619,0.681,9.4,4.8,35.0
1,42.1233919,8.57368738,0.678,94.2,13.0,149.0
0,41.93299061,8.74713607,0.677,5.8,4.2,73.0
0,41.95179097,8.60648054,0.677,5.0,4.6,169.0
0,41.99231013,8.66575853,0.674,5.1,4.7,173.0
0,41.92708283,8.7711979,0.674,5.6,3.6,81.0
0,41.93301074,8.74922358,0.674,12.1,5.2,74.0
0,41.93087723,8.74692808,0.673,14.9,4.5,62.0
0,42.04167793,8.73928666,0.673,5.3,4.9,171.0
0,41.92083903,8.74266488,0.67,263.8,43.4,166.0
0,41.99319215,8.66631238,0.67,5.2,5.0,169.0
1,42.13186471,8.56389567,0.669,148.5,19.0,98.0
0,41.99283563,8.66533473,0.668,6.4,4.3,73.0
0,41.99259988,8.66486455,0.668,11.8,5.3,81.0
0,41.93168427,8.74719526,0.667,8.0,4.3,72.0
0,41.93288304,8.74608593,0.664,5.4,4.9,82.0
0,42.11057171,8.68871369,0.664,6.2,4.8,75.0
0,41.92663714,8.77107118,0.663,6.2,4.1,78.0
0,41.90566881,8.67694235,0.662,5.7,4.9,169.0
0,42.06359549,8.73480109,0.661,6.2,6.1,172.0
